OrganisationID,OrganisationCode,OrganisationType,SubType,OrganisationStatus,IsPimsManaged,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude
18161,NMW,Trust,Independent,Visible,FALSE,Abbey Sefton Hospital (University Hospital Aintree),Fazakerley Hospital,Lower Lane,,Liverpool,Merseyside,L9 7AL,53.46792221,-2.935116291
18163,NN3,Trust,Independent,Visible,FALSE,First Trust Hospital,D'Urton Lane,Broughton,,Preston,Lancashire,PR3 5LD,53.80305481,-2.712399006
18164,NN4,Trust,Independent,Visible,TRUE,Tyneside Surgical Services Ltd,The North East NHS Surgery Centre,Queen Elizabeth Hospital,,Gateshead,Tyne and Wear,NE9 6SX,54.93799973,-1.581497788
18171,NNH,Trust,Independent,Visible,TRUE,Optegra UK,Optegra,10 Alan Turing Road,The Surrey ResearchPark,Guildford,Surrey,GU2 7YF,51.24116516,-0.613245845
18172,NNV,Trust,Independent,Visible,TRUE,Your Healthcare,Hollyfield House,22 Hollyfield Road,,Surbiton,Surrey,KT5 9AL,51.3865242,-0.292852908
18209,NNW,Trust,Independent,Visible,FALSE,Navas,3 Holywell Way,Longthorpe,,Peterborough,Cambridgeshire,PE3 6SS,52.56946945,-0.287299722
18221,NP4,Trust,Independent,Visible,FALSE,Healthcare Location,Kirkwood House,First Drift,Wothorpe,Stamford,Lincolnshire,PE9 3JL,52.64214706,-0.479795069
18225,NPF,Trust,Independent,Visible,FALSE,The Industrial Diagnostics Company [HQ],Atherstone House,The Sidings,,,,,,
18227,NPG,Trust,Independent,Visible,TRUE,Spamedica,,Citygate Central,Blantyre Street,Manchester,Greater Manchester,M15 4SQ,53.47274017,-2.258123398
18229,NPH,Trust,Independent,Visible,TRUE,Milton Keynes Urgent Care Services Cic HQ,Milton Keynes General Hospital,Standing Way,Eaglestone,Milton Keynes,Buckinghamshire,MK6 5NG,52.02479553,-0.738434613
18231,NPJ,Trust,Independent,Visible,TRUE,South Norfolk Healthcare Cic,Innovation Centre,Norwich Research Park,,Norwich,Norfolk,NR4 7GJ,52.62466812,1.224402785
18235,NPL,Trust,Independent,Visible,FALSE,Esteve Teijin,Field Fisher Waterhouse,Emperor House,35 Vine Street,London,Greater London,EC3N 2PX,51.51109695,-7.56E-02
18237,NPN,Trust,Independent,Visible,FALSE,Assura Liverpool Llp,6400 Daresbury Park,Daresbury,,Warrington,Cheshire,WA4 4GE,53.33205032,-2.642132282
18247,NPQ,Trust,Independent,Visible,FALSE,Urgent Care 24,4-6 Enterprise Way,Wavertree Business Village,,Liverpool,Merseyside,L13 1FB,53.40412521,-2.929940939
18250,NPR,Trust,Independent,Visible,TRUE,About Health,Telemedic House,10 Billetfield,,Taunton,Somerset,TA1 3NN,51.01303864,-3.099789858
18263,NPV,Trust,Independent,Visible,TRUE,Hillingdon Health Limited,Unit 3,,,,,,,
18266,NPW,Trust,Independent,Visible,FALSE,Gryphon Health Llp,Unit 3,,,,,,,
18269,NQ1,Trust,Independent,Visible,TRUE,Anglian Community Enterprise Community Interest Company (ACE CIC),659-662 The Crescent,Colchester Business Park,,Colchester,Essex,CO4 9YQ,51.92369461,0.921466172
18273,NQ2,Trust,Independent,Visible,FALSE,Sudbury Healthcare Partnership Limited,Hardwicke House Group Practice,Meadow Lane,,Sudbury,Suffolk,CO10 2TD,52.0362854,0.730399489
18275,NQ3,Trust,Independent,Visible,FALSE,North East Orthopaedic and Sports Injury Surgery Ltd,1 Bemersyde Drive,Jesmond,,Newcastle Upon Tyne,Tyne and Wear,NE2 2HL,54.99739456,-1.6036551
18280,NQ5,Trust,Independent,Visible,FALSE,Brook Young People,50 Featherstone Street,,,London,Greater London,EC1Y 8RT,51.52484894,-8.97E-02
18284,NQ6,Trust,Independent,Visible,TRUE,Exeter Medical Ltd,Admiral House,Grenadier Road,Exeter Business Park,Exeter,Devon,EX1 3QF,50.72848511,-3.468929052
18286,NQ7,Trust,Independent,Visible,TRUE,Medway Community Healthcare,MCH House,,,Gillingham,Kent,ME8 0PZ,51.36584091,0.570838273
18288,NQ9,Trust,Independent,Visible,FALSE,Brookdale Healthcare Ltd (T/A Brookdale Care),14 Parkway,,,Welwyn Garden City,Hertfordshire,AL8 6HG,51.80331039,-0.208694384
18290,NQA,Trust,Independent,Visible,TRUE,Provide,Corporate Offices,900 The Crescent,Colchester Business Park,Colchester,Essex,CO4 9YQ,51.92369461,0.921466172
18292,NQC,Trust,Independent,Visible,FALSE,Central London Osteopathy,325-327 Old Street,,,London,Greater London,EC1V 9LE,51.52713013,-0.080623686
18296,NQH,Trust,Independent,Visible,TRUE,Novus Health Ltd,Millennium Court,60 Queen Street,,Normanton,West Yorkshire,WF6 2BU,53.69813919,-1.421677113
18304,NQM,Trust,Independent,Visible,TRUE,Orthopaedics and Spine Specialist Hospital,1 Stirling Way,Bretton,,Peterborough,Cambridgeshire,PE3 8YA,52.60493088,-0.283022165
18307,NR3,Trust,Independent,Visible,TRUE,Nottingham CityCare Partnership,Standard Court,Park Row,,Nottingham,Nottinghamshire,NG1 6GN,52.95174408,-1.155860543
18308,NR5,Trust,MentalHealth,Visible,TRUE,Plymouth Community Healthcare (Cic),Local Care Centre,200 Mount Gould Road,,Plymouth,Devon,PL4 7PY,50.37882996,-4.116810322
18319,NRK,Trust,Independent,Visible,FALSE,Eastbourne Healthcare Partnership,The Apollo Health Centre,Wartling Road,,Eastbourne,East Sussex,BN22 7PF,50.78107834,0.303110301
18321,NT1,Trust,Independent,Visible,TRUE,Bpas (Head Office),BPAS Head Office,20 Timothys Bridge Road,Stratford Enterprise Park,Stratford on Avon,Warwickshire,CV37 9BF,52.20026398,-1.723756313
18350,NT2,Trust,Independent,Visible,TRUE,Nuffield Health,Epsom Gateway,Ashley Avenue,,Epsom,Surrey,KT18 5AL,51.33164597,-0.270287931
18384,NT3,Trust,Independent,Visible,TRUE,Spire Healthcare,Spire Healthcare,3 Dorset Rise,,London,,EC4Y 8EN,51.51310349,-0.105598591
18422,NT4,Trust,Independent,Visible,TRUE,BMI Healthcare,BMI Healthcare House,3 Paris Garden,,London,,SE1 8ND,51.50669479,-0.106411956
18511,NT5,Trust,Independent,Visible,FALSE,Care UK Clinical Services,57-75 Kings Road,,,Reading,Berkshire,RG1 3DD,51.45504761,-0.963714778
18520,NT7,Trust,Independent,Visible,TRUE,Netcare Healthcare UK,3 Tenterden Street,Hanover Square,,London,Greater London,W1S 1TD,51.5145607,-0.144956306
18543,NT8,Trust,Independent,Visible,FALSE,Capio UK,1 Hassett Street,,,Bedford,Bedfordshire,MK40 1HA,52.1385994,-0.471951693
18544,NT9,Trust,Independent,Visible,TRUE,Alliance Medical,Iceni Centre,Warwick Technology Park,Gallows Hill,Warwick,Warwickshire,CV34 6DA,52.27410126,-1.56733048
18555,NTC,Trust,Independent,Visible,TRUE,UK Specialist Hospitals Ltd,,4 Lombard Street,,London,,EC3V 9AA,51.51290512,-8.90E-02
18561,NTD,Trust,Independent,Visible,TRUE,Interhealth Care Services (Uk) Ltd,,Earls Way,,Runcorn,Cheshire,WA7 2HH,53.32184601,-2.695378542
18567,NTF,Trust,Independent,Visible,FALSE,Abbey Hospitals,22 Wimpole Street,,,London,Greater London,W1G 8LD,51.51851273,-0.148125261
18569,NTG,Trust,Independent,Visible,TRUE,Marie Stopes International,1 Conway Street,,,London,,W1T 6LP,51.52192688,-0.139856905
18590,NTH,Trust,Independent,Visible,FALSE,Classic Hospitals Ltd,Mitre House,160 Aldersgate Street,,London,Greater London,EC1A 4DD,51.51886368,-9.75E-02
18601,NTJ,Trust,Independent,Visible,FALSE,Atos Healthcare,4 Triton Square,Regent's Place,,London,Greater London,NW1 3HG,51.52547455,-0.141326874
18604,NTK,Trust,Independent,Visible,FALSE,Prem House Clinic Ltd,Prem House,2 Park Road,Waterloo,Liverpool,Merseyside,L22 3XF,53.47869873,-3.021091461
18609,NTM,Trust,Independent,Visible,FALSE,Fresenius Medical Care (Uk) Ltd,Nunn Brook Road,Huthwaite,,Sutton-In-Ashfield,Nottinghamshire,NG17 2HU,53.12284088,-1.309297323
18617,NTN,Trust,MentalHealth,Visible,TRUE,Priory Group Limited,Registered Office,80 Hammersmith Road,,London,,W14 8UD,51.49481583,-0.213466913
18654,NTP,Trust,MentalHealth,Visible,TRUE,Care UK,Hawker House,5-6 Napier Court,Napier Road,Reading,Berkshire,RG1 8BW,51.45918655,-0.965074837
18695,NTQ,Trust,Independent,Visible,TRUE,Baxter Healthcare,Wallingford Road,Compton,,Newbury,Berkshire,RG20 7QW,51.51844406,-1.250308156
18706,NTR,Trust,Independent,Visible,FALSE,Tyne and Wear Surgery Ltd,22-26 Kings Street,,,Kings Lynn,Norfolk,PE30 1HJ,52.75484467,0.393893927
18717,NTV,Trust,Independent,Visible,TRUE,Central Surrey Health,Ewell Court Clinic,Ewell Court Avenue,,Epsom,Surrey,KT19 0DZ,51.3628006,-0.259217232
18747,NTY,Trust,Independent,Visible,TRUE,Other Private Healthcare Providers,2nd Floor,Princes Exchange,2 Princes Square,Leeds,West Yorkshire,LS1 4HY,53.79550934,-1.550015688
18775,NV1,Trust,Independent,Visible,TRUE,Inhealth Group Limited,Beechwood Hall,Kingsmead Road,,High Wycombe,Buckinghamshire,HP11 1JL,51.60816193,-0.704294384
18788,NV2,Trust,MentalHealth,Visible,TRUE,The Huntercombe Group,Central Services - Tulip House,Craven Court,Willie Snaith Road,Newmarket,Suffolk,CB8 7FA,52.25915909,0.393567473
18800,NV3,Trust,Independent,Visible,TRUE,CircleHealth,32 Welbeck Street,,,London,,W1G 8EU,51.51858902,-0.149592325
18811,NV7,Trust,Independent,Visible,TRUE,Bupa Group,Bupa House,15-19 Bloomsbury Way,,London,Greater London,WC1A 2BA,51.51770401,-0.123251624
18822,NV8,Trust,Independent,Visible,TRUE,Horizon Health,First Floor,,,,,,,
18825,NVC,Trust,Independent,Visible,TRUE,Ramsay Healthcare UK Operations Limited,,1 Hassett Street,,Bedford,Bedfordshire,MK40 1HA,52.1385994,-0.471951693
18865,NVG,Trust,Independent,Visible,TRUE,Fairfield Hospital,,Crank Road,Crank,St. Helens,Merseyside,WA11 7RS,53.48470688,-2.749866247
18867,NVL,Trust,Independent,Visible,FALSE,Durnford Dermatology,113 Long Street,Middleton,,Manchester,Greater Manchester,M24 6DL,53.55402374,-2.197018385
18869,NVT,Trust,Independent,Visible,TRUE,London Wound Healing Centres Ltd,The Hyperbaric Unit,Whipps Cross Hospital,Leytonstone,London,,E11 1NR,51.57830429,2.88E-03
18873,NW6,Trust,Independent,Visible,TRUE,Hca International,242 Marylebone Road,,,London,Greater London,NW1 6JL,51.52136612,-0.163822249
18881,NWE,Trust,Independent,Visible,FALSE,Sentinel Healthcare Southwest Community Interest Company,Derriford Business Park,Brest Road,,Plymouth,Devon,PL6 5QZ,50.41590118,-4.123009682
18886,NWF,Trust,Independent,Visible,TRUE,Benenden Hospital,Goddards Green Road,Benenden,,Cranbrook,Kent,TN17 4AX,51.08665848,0.616114497
18888,NWH,Trust,Independent,Visible,TRUE,Assura Leeds Llp,Unit 2R,,,,,,,
18889,NWX,Trust,Independent,Visible,FALSE,Brighton & Hove Integrated Care Service,4Th Floor,177 Preston Road,,Brighton,East Sussex,BN1 6AG,50.83837891,-0.148279265
18891,NX1,Trust,Independent,Visible,TRUE,The Practice Plc,Anglo House,Bell Lane Office Village,Bell Lane,,,,,
18895,NX2,Trust,Independent,Visible,TRUE,Minor Ops Ltd,The Quadrus Centre,Woodstock Way,Boldon Business Park,Boldon Colliery,Durham,NE35 9PF,54.94312286,-1.471079588
18908,NXM,Trust,Independent,Visible,TRUE,The Horder Centre,Orthopaedic Centre of Excellence,St. John's Road,,Crowborough,Sussex,TN6 1XP,51.06368637,0.142799735
18911,NY6,Trust,Independent,Visible,TRUE,Pain Management Solutions,Head Office,110 Dodworth Road,,Barnsley,South Yorkshire,S70 6HL,53.55226135,-1.494306445
18938,NYG,Trust,Independent,Visible,TRUE,Sussex Community Dermatology Service,,51 Chesswood Road,,Worthing,West Sussex,BN11 2AA,50.81935501,-0.36468491
39919,R1A,Trust,MentalHealth,Visible,TRUE,Worcestershire Health and Care NHS Trust,Isaac Maddox House,Shrub Hill Industrial Estate,,Worcester,Worcestershire,WR4 9RW,52.19507217,-2.212979317
39927,R1C,Trust,MentalHealth,Visible,TRUE,Solent NHS Trust,Adelaide Health Centre,Western Community Hospital,William Macleod Way,Southampton,Hampshire,SO16 4XE,50.92525101,-1.446025729
39928,R1D,Trust,Health & Care and Ambulance,Visible,TRUE,Shropshire Community Health NHS Trust,William Farr House,Mytton Oak Road,,Shrewsbury,Shropshire,SY3 8XL,52.70741653,-2.793050766
39934,R1E,Trust,Health & Care and Ambulance,Visible,TRUE,Staffordshire and Stoke On Trent Partnership NHS Trust,2nd Floor,,,,,,,
39935,R1F,Trust,MentalHealth,Visible,TRUE,Isle Of Wight NHS Trust,St Mary's Hospital,Parkhurst Road,,Newport,Isle Of Wight,PO30 5TG,50.71110153,-1.300873041
39948,R1H,Trust,Acute,Visible,TRUE,Barts Health NHS Trust,Trust headquarters,,,,,,,
39969,RA2,Trust,Acute,Visible,TRUE,Royal Surrey County NHS Foundation Trust,Royal Surrey County Hospital,Egerton Road,,Guildford,Surrey,GU2 7XX,51.24102783,-0.607448041
39976,RA3,Trust,Acute,Visible,TRUE,Weston Area Health NHS Trust,Weston General Hospital,Grange Road,Uphill,Weston-Super-Mare,,BS23 4TQ,51.32234192,-2.971384764
39984,RA4,Trust,Acute,Visible,TRUE,Yeovil District Hospital NHS Foundation Trust,Yeovil District Hospital,Higher Kingston,,Yeovil,Somerset,BA21 4AT,50.94530106,-2.633893251
39986,RA7,Trust,Acute,Visible,TRUE,University Hospitals Bristol NHS Foundation Trust,Marlborough Street,,,Bristol,Avon,BS1 3NU,51.45945358,-2.593321323
40005,RA9,Trust,Acute,Visible,TRUE,Torbay and South Devon NHS Foundation Trust,Hengrave House,Torbay Hospital,Newton Road,Torquay,Devon,TQ2 7AA,50.48233032,-3.553776741
40057,RAE,Trust,Acute,Visible,TRUE,Bradford Teaching Hospitals NHS Foundation Trust,Bradford Royal Infirmary,Duckworth Lane,,Bradford,West Yorkshire,BD9 6RJ,53.80606842,-1.796943784
40066,RAJ,Trust,Acute,Visible,TRUE,Southend University Hospital NHS Foundation Trust,,Prittlewell Chase,,Westcliff On Sea,Essex,SS0 0RY,51.55383301,0.689107776
40072,RAL,Trust,Acute,Visible,TRUE,Royal Free London NHS Foundation Trust,Royal Free Hospital,Pond Street,,London,,NW3 2QG,51.55322266,-0.165309235
40086,RAN,Trust,Acute,Visible,TRUE,Royal National Orthopaedic Hospital NHS Trust,,Brockley Hill,,Stanmore,Middlesex,HA7 4LP,51.63151169,-0.306616604
40089,RAP,Trust,Acute,Visible,TRUE,North Middlesex University Hospital NHS Trust,,Sterling Way,,London,,N18 1QX,51.61312103,-7.43E-02
40094,RAS,Trust,Acute,Visible,TRUE,The Hillingdon Hospitals NHS Foundation Trust,,Pield Heath Road,,Uxbridge,Middlesex,UB8 3NN,51.52551651,-0.460890949
40097,RAT,Trust,MentalHealth,Visible,TRUE,North East London NHS Foundation Trust,Trust Head Office,Goodmayes Hospital Site,Barley Lane,Ilford,Essex,IG3 8XJ,51.57799149,0.11050193
40108,RAX,Trust,Acute,Visible,TRUE,Kingston Hospital NHS Foundation Trust,Galsworthy Road,,,Kingston Upon Thames,Surrey,KT2 7QB,51.41428375,-0.283075601
40114,RBA,Trust,Acute,Visible,TRUE,Taunton and Somerset NHS Foundation Trust,Musgrove Park Hospital,,,Taunton,Somerset,TA1 5DA,51.01229477,-3.121026754
40120,RBB,Trust,Acute,Visible,TRUE,Royal National Hospital for Rheumatic Diseases,Upper Borough Walls,,,Bath,Avon,BA1 1RL,51.38235092,-2.361466169
40129,RBD,Trust,Acute,Visible,TRUE,Dorset County Hospital NHS Foundation Trust,Dorset County Hospital,Williams Avenue,,Dorchester,Dorset,DT1 2JY,50.71346664,-2.447111607
40153,RBK,Trust,Acute,Visible,TRUE,Walsall Healthcare NHS Trust,Manor Hospital,Moat Road,,Walsall,,WS2 9PS,52.58219147,-1.999174833
40160,RBL,Trust,Acute,Visible,TRUE,Wirral University Teaching Hospital NHS Foundation Trust,Arrowe Park Hospital,Arrowe Park Road,Upton,Wirral,Merseyside,CH49 5PE,53.37084579,-3.095434189
40167,RBN,Trust,Acute,Visible,TRUE,St Helens and Knowsley Hospitals NHS Trust,Whiston Hospital,Warrington Road,,Prescot,Merseyside,L35 5DR,53.42081833,-2.785998821
40183,RBQ,Trust,Acute,Visible,TRUE,Liverpool Heart and Chest NHS Foundation Trust,Thomas Drive,,,Liverpool,Merseyside,L14 3PE,53.40997696,-2.900657892
40189,RBS,Trust,Acute,Visible,TRUE,Alder Hey Children's NHS Foundation Trust,Alder Hey Children's Hospital,Eaton Road,West Derby,Liverpool,Merseyside,L12 2AP,53.4212532,-2.897781372
40198,RBT,Trust,Acute,Visible,TRUE,Mid Cheshire Hospitals NHS Foundation Trust,Leighton Hospital,Leighton,,Crewe,Cheshire,CW1 4QJ,53.11769104,-2.475848436
40203,RBV,Trust,Acute,Visible,TRUE,The Christie NHS Foundation Trust,550 Wilmslow Road,Withington,,Manchester,Greater Manchester,M20 4BX,53.42975235,-2.230034828
40207,RBZ,Trust,Acute,Visible,TRUE,Northern Devon Healthcare NHS Trust,North Devon District Hospital,Raleigh Park,,Barnstaple,Devon,EX31 4JB,51.0912323,-4.051418781
40226,RC1,Trust,Acute,Visible,TRUE,Bedford Hospital NHS Trust,South Wing,Kempston Road,,Bedford,Bedfordshire,MK42 9DJ,52.12884903,-0.47171548
40232,RC9,Trust,Acute,Visible,TRUE,Luton and Dunstable University Hospital NHS Foundation Trust,,Lewsey Road,,Luton,Bedfordshire,LU4 0DZ,51.89417648,-0.474254429
40234,RCB,Trust,Acute,Visible,TRUE,York Teaching Hospital NHS Foundation Trust,The York Hospital,Wigginton Road,,York,North Yorkshire,YO31 8HE,53.96904373,-1.084100008
40260,RCD,Trust,Acute,Visible,TRUE,Harrogate and District NHS Foundation Trust,Harrogate District Hospital,Lancaster Park Road,,Harrogate,North Yorkshire,HG2 7SX,53.99380112,-1.517817736
40269,RCF,Trust,Acute,Visible,TRUE,Airedale NHS Foundation Trust,Airedale General Hospital,Skipton Road,Steeton,Keighley,West Yorkshire,BD20 6TD,53.89801788,-1.962679625
40277,RCU,Trust,Acute,Visible,TRUE,Sheffield Children's NHS Foundation Trust,Western Bank,,,Sheffield,South Yorkshire,S10 2TH,53.38055038,-1.491215706
40283,RCX,Trust,Acute,Visible,TRUE,The Queen Elizabeth Hospital,,,,,,,,
40291,RD1,Trust,Acute,Visible,TRUE,Royal United Hospitals Bath NHS Foundation Trust,Royal United Hospital Bath NHS Trust,Combe Park,,Bath,,BA1 3NG,51.39276886,-2.390552044
40307,RD3,Trust,Acute,Visible,TRUE,Poole Hospital NHS Foundation Trust,Longfleet Road,,,Poole,Dorset,BH15 2JB,50.72199249,-1.973102927
40328,RD8,Trust,Acute,Visible,TRUE,Milton Keynes University Hospital NHS Foundation Trust,Standing Way,Eaglestone,,Milton Keynes,Buckinghamshire,MK6 5LD,52.02638245,-0.735780835
40333,RDD,Trust,Acute,Visible,TRUE,Basildon and Thurrock University Hospitals NHS Foundation Trust,Basildon Hospital,,Nethermayne,Basildon,Essex,SS16 5NL,51.55768585,0.450571656
40340,RDE,Trust,Acute,Visible,TRUE,Colchester Hospital University NHS Foundation Trust,Colchester General Hospital,Turner Road,,Colchester,Essex,CO4 5JL,51.91032028,0.899294317
40347,RDR,Trust,Health & Care and Ambulance,Visible,TRUE,Sussex Community NHS Trust,Brighton General Hospital,Elm Grove,,Brighton,,BN2 3EW,50.83091354,-0.114151984
40394,RDU,Trust,Acute,Visible,TRUE,Frimley Health NHS Foundation Trust,Portsmouth Road,,Frimley,Camberley,Surrey,GU16 7UJ,51.31967163,-0.74154073
40407,RDY,Trust,MentalHealth,Visible,TRUE,Dorset Healthcare University NHS Foundation Trust,Sentinel House,4 - 6 Nuffield Road,Nuffield Industrial Estate,Poole,Dorset,BH17 0RB,50.74010468,-1.977953553
40448,RDZ,Trust,Acute,Visible,TRUE,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,Royal Bournemouth General Hospital,Castle Lane East,,Bournemouth,Dorset,BH7 7DW,50.74807358,-1.824174404
40452,RE9,Trust,Acute,Visible,TRUE,South Tyneside NHS Foundation Trust,South Tyneside District Hospital,Harton Lane,,South Shields,Tyne and Wear,NE34 0PL,54.97187424,-1.429914117
40469,REF,Trust,Acute,Visible,TRUE,Royal Cornwall Hospitals NHS Trust,Royal Cornwall Hospital,Treliske,,Truro,Cornwall,TR1 3LJ,50.26669693,-5.091437817
40479,REM,Trust,Acute,Visible,TRUE,Aintree University Hospital NHS Foundation Trust,,Aintree University Hospital,Lower Lane,Liverpool,Merseyside,L9 7AL,53.46792221,-2.935116291
40500,REN,Trust,Acute,Visible,TRUE,The Clatterbridge Cancer Centre NHS Foundation Trust,Clatterbridge Road,Bebington,,Wirral,,CH63 4JY,53.33227158,-3.025834322
40503,REP,Trust,Acute,Visible,TRUE,Liverpool Women's NHS Foundation Trust,Liverpool Womens Hospital,Crown Street,,Liverpool,,L8 7SS,53.39863968,-2.959615231
40559,RET,Trust,Acute,Visible,TRUE,The Walton Centre NHS Foundation Trust,Lower Lane,,,Liverpool,Merseyside,L9 7LJ,53.46649933,-2.930912256
40561,RF4,Trust,Acute,Visible,TRUE,Barking,,,,,,,,
40569,RFF,Trust,Acute,Visible,TRUE,Barnsley Hospital NHS Foundation Trust,,Gawber Road,,Barnsley,,S75 2EP,53.55831528,-1.499563098
40571,RFR,Trust,Acute,Visible,TRUE,The Rotherham NHS Foundation Trust,Rotherham Hospital,Moorgate Road,,Rotherham,,S60 2UD,53.41441345,-1.342557907
40576,RFS,Trust,Acute,Visible,TRUE,Chesterfield Royal Hospital NHS Foundation Trust,Top Road,Calow,,Chesterfield,Derbyshire,S44 5BL,53.23622513,-1.400066376
40614,RFW,Trust,Acute,Visible,TRUE,West Middlesex University Hospital NHS Trust,,Twickenham Road,,Isleworth,Middlesex,TW7 6AF,51.47407913,-0.326175332
40643,RGD,Trust,MentalHealth,Visible,TRUE,Leeds and York Partnership NHS Foundation Trust,2150 Century Way,Thorpe Park,,Leeds,West Yorkshire,LS15 8ZB,53.79682541,-1.426484585
40649,RGM,Trust,Acute,Visible,TRUE,Papworth Hospital NHS Foundation Trust,Papworth Hall,Papworth Everard,,Cambridge,Cambridgeshire,CB23 3RE,52.2486496,-0.115512893
40651,RGN,Trust,Acute,Visible,TRUE,Peterborough and Stamford Hospitals NHS Foundation Trust,Peterborough City Hospital,Bretton Gate,Bretton,Peterborough,Cambridgeshire,PE3 9GZ,52.58545303,-0.28007859
40659,RGP,Trust,Acute,Visible,TRUE,James Paget University Hospitals NHS Foundation Trust,Lowestoft Road,,Gorleston,Great Yarmouth,Norfolk,NR31 6LA,52.56194687,1.716615796
40667,RGQ,Trust,Acute,Visible,TRUE,Ipswich Hospital NHS Trust,Heath Road,,,Ipswich,Suffolk,IP4 5PD,52.060009,1.196360588
40713,RGR,Trust,Acute,Visible,TRUE,West Suffolk NHS Foundation Trust,West Suffolk Hospital,Hardwick Lane,,Bury St Edmunds,Suffolk,IP33 2QZ,52.23166275,0.70919019
40718,RGT,Trust,Acute,Visible,TRUE,Cambridge University Hospitals NHS Foundation Trust,,Hills Road,,Cambridge,Cambridgeshire,CB2 0QQ,52.17374039,0.139129058
40736,RH5,Trust,MentalHealth,Visible,TRUE,Somerset Partnership NHS Foundation Trust,2nd Floor,Mallard Court,Express Park,,,,,
