"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","CSECTIONS","TOT","1000BIRTH","A","2014",207.6,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1990",184.3,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1991",179.1,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1992",174.6,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1993",175.1,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1994",174.8,"B"
"CAN","CSECTIONS","TOT","1000BIRTH","A","1995",174.8,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1996",178.7,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1997",183.8,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1998",187.6,
"CAN","CSECTIONS","TOT","1000BIRTH","A","1999",195.8,"B"
"CAN","CSECTIONS","TOT","1000BIRTH","A","2000",209.2,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2001",221.9,"B"
"CAN","CSECTIONS","TOT","1000BIRTH","A","2002",234.3,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2003",247.6,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2004",252.9,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2005",261.7,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2006",262.6,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2007",266.2,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2008",263.7,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2009",261.8,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2010",260.9,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2011",263.9,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2012",262.8,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2013",259.5,
"CAN","CSECTIONS","TOT","1000BIRTH","A","2014",259.6,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1990",76.1,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1991",83.5,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1992",88.2,"E"
"CZE","CSECTIONS","TOT","1000BIRTH","A","1993",91,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1994",100.9,"B"
"CZE","CSECTIONS","TOT","1000BIRTH","A","1995",112,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1996",115.6,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1997",117.9,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1998",122.6,
"CZE","CSECTIONS","TOT","1000BIRTH","A","1999",123.4,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2000",128.9,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2001",132.5,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2002",140.7,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2003",152.9,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2004",160.1,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2005",171.3,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2006",183.7,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2007",195.7,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2008",204.8,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2009",212.2,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2010",224.9,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2011",232.7,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2012",243.9,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2013",248.7,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2014",254.4,
"CZE","CSECTIONS","TOT","1000BIRTH","A","2015",253.6,
"DNK","CSECTIONS","TOT","1000BIRTH","A","1996",131.1,
"DNK","CSECTIONS","TOT","1000BIRTH","A","1997",130.9,
"DNK","CSECTIONS","TOT","1000BIRTH","A","1998",138.9,
"DNK","CSECTIONS","TOT","1000BIRTH","A","1999",143.3,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2000",154.1,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2001",169.2,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2002",185.8,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2003",194.9,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2004",204.5,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2005",200.6,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2006",207.8,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2007",217.6,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2008",211.8,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2009",218.8,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2010",214.3,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2011",213.9,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2012",211.8,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2013",223.5,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2014",215.4,
"DNK","CSECTIONS","TOT","1000BIRTH","A","2015",210.9,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1990",135.5,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1991",143.2,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1992",144.9,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1993",145.8,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1994",153,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1995",155.9,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1996",156.5,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1997",155.4,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1998",153.2,
"FIN","CSECTIONS","TOT","1000BIRTH","A","1999",157.8,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2000",157.8,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2001",164,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2002",163.6,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2003",161.6,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2004",163.9,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2005",162.8,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2006",161.4,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2007",162.6,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2008",164.9,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2009",157.5,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2010",161.4,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2011",161.8,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2012",161.9,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2013",158,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2014",157.7,
"FIN","CSECTIONS","TOT","1000BIRTH","A","2015",154.7,
"FRA","CSECTIONS","TOT","1000BIRTH","A","1997",163,
"FRA","CSECTIONS","TOT","1000BIRTH","A","1998",169.4,
"FRA","CSECTIONS","TOT","1000BIRTH","A","1999",174.5,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2000",178.4,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2001",185.5,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2002",192,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2003",193.1,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2004",193.9,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2005",198.8,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2006",202.4,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2007",207.2,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2008",206.4,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2009",207.7,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2010",210.2,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2011",210,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2012",208.4,
"FRA","CSECTIONS","TOT","1000BIRTH","A","2013",208.1,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2004",257.1,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2005",279,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2006",280.9,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2007",285.6,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2008",297.9,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2009",313.1,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2010",324.7,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2011",331.9,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2012",340.1,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2013",349.4,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2014",356.7,
"HUN","CSECTIONS","TOT","1000BIRTH","A","2015",372.1,
"IRL","CSECTIONS","TOT","1000BIRTH","A","1999",198.3,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2000",207.5,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2001",212.5,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2002",217.4,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2003",234,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2004",244.1,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2005",250.9,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2006",245.6,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2007",253.3,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2008",255.6,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2009",259.2,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2010",260.4,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2011",269,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2012",277.4,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2013",284.8,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2014",291.2,
"IRL","CSECTIONS","TOT","1000BIRTH","A","2015",301.1,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2001",352.6,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2002",366.2,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2003",378.2,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2004",383.8,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2005",390.9,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2006",394.6,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2007",392.2,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2008",385.9,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2009",387.6,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2010",384.6,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2011",377.1,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2012",368.4,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2013",361.4,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2014",357,
"ITA","CSECTIONS","TOT","1000BIRTH","A","2015",352.8,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2001",334.9,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2002",367.3,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2003",365.2,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2004",364.5,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2005",360.6,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2006",351.3,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2007",353.4,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2008",353.8,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2009",351.3,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2010",352.2,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2011",346.1,"B"
"KOR","CSECTIONS","TOT","1000BIRTH","A","2012",360,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2013",367.8,
"KOR","CSECTIONS","TOT","1000BIRTH","A","2014",380.3,
"LUX","CSECTIONS","TOT","1000BIRTH","A","1996",159.4,
"LUX","CSECTIONS","TOT","1000BIRTH","A","1997",180.8,
"LUX","CSECTIONS","TOT","1000BIRTH","A","1998",177.5,
"LUX","CSECTIONS","TOT","1000BIRTH","A","1999",188.1,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2000",198.7,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2001",219.5,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2002",231.4,"B"
"LUX","CSECTIONS","TOT","1000BIRTH","A","2003",235.3,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2004",242.1,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2005",242.2,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2006",242.8,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2007",258,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2008",268.4,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2009",260.9,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2010",257.7,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2011",277.4,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2012",272.8,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2013",270.2,
"LUX","CSECTIONS","TOT","1000BIRTH","A","2014",289.1,"E"
"LUX","CSECTIONS","TOT","1000BIRTH","A","2015",277.7,"E"
"NLD","CSECTIONS","TOT","1000BIRTH","A","1990",74.1,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1991",77.4,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1992",79.5,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1993",84.4,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1994",91.7,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1995",96.5,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1996",100.6,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1997",103.9,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1998",110.6,
"NLD","CSECTIONS","TOT","1000BIRTH","A","1999",113.4,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2000",118.7,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2001",136.4,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2002",135.2,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2003",135.3,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2004",136.4,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2005",135.7,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2006",137.8,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2007",139.2,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2008",143,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2009",148.4,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2010",155.9,
"NLD","CSECTIONS","TOT","1000BIRTH","A","2012",158.8,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2000",202.9,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2001",213.5,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2002",224.2,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2003",224.1,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2004",225.1,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2005",231.3,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2006",243.4,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2007",231.9,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2008",231.4,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2009",242.5,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2010",237.8,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2011",241.5,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2012",253.9,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2013",258.8,
"NZL","CSECTIONS","TOT","1000BIRTH","A","2014",262.6,
"POL","CSECTIONS","TOT","1000BIRTH","A","2006",192.3,
"POL","CSECTIONS","TOT","1000BIRTH","A","2007",189.8,
"POL","CSECTIONS","TOT","1000BIRTH","A","2008",192.8,
"POL","CSECTIONS","TOT","1000BIRTH","A","2009",228.3,
"POL","CSECTIONS","TOT","1000BIRTH","A","2010",260.4,
"POL","CSECTIONS","TOT","1000BIRTH","A","2011",298.9,
"POL","CSECTIONS","TOT","1000BIRTH","A","2012",315.7,
"POL","CSECTIONS","TOT","1000BIRTH","A","2013",345.7,
"POL","CSECTIONS","TOT","1000BIRTH","A","2014",356.5,
"POL","CSECTIONS","TOT","1000BIRTH","A","2015",361.7,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2001",224.7,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2002",234.5,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2003",237.8,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2004",243.1,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2005",251,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2006",260.1,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2007",253.6,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2008",247.4,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2009",250.1,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2010",249.6,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2011",249.1,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2012",251.5,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2013",251.6,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2014",250.4,
"ESP","CSECTIONS","TOT","1000BIRTH","A","2015",245.1,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2005",169.8,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2006",173.4,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2007",174.6,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2008",168.6,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2009",171.4,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2010",166.3,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2011",164,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2012",165.2,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2013",166.8,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2014",172.6,
"SWE","CSECTIONS","TOT","1000BIRTH","A","2015",173.1,
"CHE","CSECTIONS","TOT","1000BIRTH","A","2002",245.8,
"CHE","CSECTIONS","TOT","1000BIRTH","A","2003",268.2,
"CHE","CSECTIONS","TOT","1000BIRTH","A","2004",272.9,
"CHE","CSECTIONS","TOT","1000BIRTH","A","2005",285.3,
"CHE","CSECTIONS","TOT","1000BIRTH","A","2006",302.4,
"CHE","CSECTIONS","TOT","1000BIRTH","A","2007",318,
"CHE","CSECTIONS","TOT","1000BIRTH","A","2008",325.2,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2006",317.4,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2007",373.7,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2008",407.2,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2009",441.9,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2010",465.8,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2011",475.2,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2012",479.8,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2013",503.6,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2014",511.3,
"TUR","CSECTIONS","TOT","1000BIRTH","A","2015",531,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2000",196.6,"E"
"GBR","CSECTIONS","TOT","1000BIRTH","A","2001",206.4,"E"
"GBR","CSECTIONS","TOT","1000BIRTH","A","2002",212.8,"E"
"GBR","CSECTIONS","TOT","1000BIRTH","A","2003",218.8,"E"
"GBR","CSECTIONS","TOT","1000BIRTH","A","2004",216.8,"E"
"GBR","CSECTIONS","TOT","1000BIRTH","A","2005",226.4,"E"
"GBR","CSECTIONS","TOT","1000BIRTH","A","2006",228.3,"E"
"GBR","CSECTIONS","TOT","1000BIRTH","A","2007",235.6,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2008",231.7,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2009",236.8,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2010",238.6,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2011",242,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2012",243.3,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2013",251.2,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2014",252,
"GBR","CSECTIONS","TOT","1000BIRTH","A","2015",262,
"EST","CSECTIONS","TOT","1000BIRTH","A","2000",145.2,
"EST","CSECTIONS","TOT","1000BIRTH","A","2001",154.9,
"EST","CSECTIONS","TOT","1000BIRTH","A","2002",149.7,
"EST","CSECTIONS","TOT","1000BIRTH","A","2003",163.6,
"EST","CSECTIONS","TOT","1000BIRTH","A","2004",171.5,
"EST","CSECTIONS","TOT","1000BIRTH","A","2005",188.5,
"EST","CSECTIONS","TOT","1000BIRTH","A","2006",189.6,
"EST","CSECTIONS","TOT","1000BIRTH","A","2007",199.7,
"EST","CSECTIONS","TOT","1000BIRTH","A","2008",199.8,
"EST","CSECTIONS","TOT","1000BIRTH","A","2009",206.9,
"EST","CSECTIONS","TOT","1000BIRTH","A","2010",203.3,
"EST","CSECTIONS","TOT","1000BIRTH","A","2011",202,
"EST","CSECTIONS","TOT","1000BIRTH","A","2012",200,
"EST","CSECTIONS","TOT","1000BIRTH","A","2013",200.8,
"EST","CSECTIONS","TOT","1000BIRTH","A","2014",199.8,
"EST","CSECTIONS","TOT","1000BIRTH","A","2015",186.6,
"ISR","CSECTIONS","TOT","1000BIRTH","A","1998",133.7,
"ISR","CSECTIONS","TOT","1000BIRTH","A","1999",145.7,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2000",136.2,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2001",149.7,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2002",154.4,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2003",155.1,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2004",150.5,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2005",157.3,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2006",158.5,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2007",166.9,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2008",170.2,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2009",176.4,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2010",175.6,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2011",176.8,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2012",172.7,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2013",169.2,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2014",169.1,
"ISR","CSECTIONS","TOT","1000BIRTH","A","2015",162,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1990",85.7,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1991",89,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1992",91.5,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1993",96,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1994",93.5,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1995",92.1,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1996",100.4,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1997",101.6,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1998",103,
"SVN","CSECTIONS","TOT","1000BIRTH","A","1999",101.2,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2000",109.8,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2001",124.7,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2002",136.8,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2003",143.5,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2004",141.9,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2005",154.1,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2006",163.8,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2007",167.6,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2008",169.5,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2009",177,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2010",189.5,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2011",194.1,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2012",194.5,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2013",201.6,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2014",209.9,
"SVN","CSECTIONS","TOT","1000BIRTH","A","2015",207.5,
"NOR","CSECTIONS","TOT","1000BIRTH","A","2013",164.6,
"NOR","CSECTIONS","TOT","1000BIRTH","A","2014",165.5,
"NOR","CSECTIONS","TOT","1000BIRTH","A","2015",161.4,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1990",70.4,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1991",77.6,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1992",75,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1993",89.6,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1994",93.7,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1995",104.4,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1996",115.3,
"LVA","CSECTIONS","TOT","1000BIRTH","A","1997",122.5,
